vacancy_id,name,company_id,salary_from,salary_to,salary_currency,url
124444315,Администратор-кассир,866666,75000,,RUR,https://hh.ru/vacancy/124444315
124367247,Администратор-кассир,866666,130000,,RUR,https://hh.ru/vacancy/124367247
125165800,Администратор,866666,,,,https://hh.ru/vacancy/125165800
122157188,Оператор видеонаблюдения,866666,65000,,RUR,https://hh.ru/vacancy/122157188
124489546,Уборщица/уборщик,866666,15000,,RUR,https://hh.ru/vacancy/124489546
124548131,Администратор-кассир,866666,110000,,RUR,https://hh.ru/vacancy/124548131
124723828,Администратор-кассир букмекерского клуба,866666,110000,,RUR,https://hh.ru/vacancy/124723828
120984230,Администратор-кассир букмекерского клуба,866666,70000,,RUR,https://hh.ru/vacancy/120984230
124697743,Руководитель ОП,866666,,,,https://hh.ru/vacancy/124697743
118941257,Администратор-кассир букмекерского клуба (г. Самара),866666,60000,,RUR,https://hh.ru/vacancy/118941257
122208048,Кассир,866666,100000,110000,RUR,https://hh.ru/vacancy/122208048
124079449,Администратор,866666,50000,75000,RUR,https://hh.ru/vacancy/124079449
124160587,Администратор,866666,45000,65000,RUR,https://hh.ru/vacancy/124160587
112690282,Администратор-кассир букмекерского клуба,866666,110000,,RUR,https://hh.ru/vacancy/112690282
124342666,Сотрудник службы безопасности,866666,,,,https://hh.ru/vacancy/124342666
124445571,Администратор,866666,60000,75000,RUR,https://hh.ru/vacancy/124445571
124185240,Администратор-кассир,866666,100000,120000,RUR,https://hh.ru/vacancy/124185240
121739243,Администратор - кассир букмекерского клуба,866666,60000,,RUR,https://hh.ru/vacancy/121739243
125010375,Администратор-кассир букмекерского клуба,866666,70000,,RUR,https://hh.ru/vacancy/125010375
124184340,Оператор-кассир,866666,75000,,RUR,https://hh.ru/vacancy/124184340
124210996,Администратор-кассир,866666,60000,,RUR,https://hh.ru/vacancy/124210996
122522789,Администратор-кассир букмекерского клуба,866666,110000,,RUR,https://hh.ru/vacancy/122522789
124756256,Оператор-кассир,866666,75000,,RUR,https://hh.ru/vacancy/124756256
123383963,Старший кассир,866666,100000,,RUR,https://hh.ru/vacancy/123383963
124217684,Администратор-кассир,866666,80000,130000,RUR,https://hh.ru/vacancy/124217684
124700144,Уборщица / уборщик,866666,,,,https://hh.ru/vacancy/124700144
124331554,Ведущий системный администратор,866666,,,,https://hh.ru/vacancy/124331554
124333472,Ведущий DevOps инженер,866666,,,,https://hh.ru/vacancy/124333472
